element,position,is_captain,is_vice_captain,multiplier,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,id_x,total_assists,total_bonus,total_bps,total_clean_sheets,total_creativity,total_goals_conceded,total_goals_scored,total_ict_index,total_influence,total_minutes,total_own_goals,total_penalties_missed,total_penalties_saved,total_red_cards,total_saves,total_threat,total_yellow_cards,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,total_in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,element_type,team,element_id,element_count,singular_name,singular_name_short,plural_name,plural_name_short,entry_id,entry_name,id_y,joined_time,player_first_name,player_last_name,short_name,waiver_pick,game_week
128,1,False,False,1,90,0,0,1,0,0,0,0,0,0,5,3,31,41.4,0.0,0.0,4.1,10,True,128,0,15,639,8,0.0,64,0,79.5,792.2,3330,0,0,1,0,107,0.0,2,2020-08-13T09:27:16.834646Z,,,40836,261,0,,,2,Vicente,2.2,False,,,,,3.4,Guaita,,a,124,Guaita,17,8,675,69,668,66,198,8,1,6,1,80,Goalkeeper,GKP,Goalkeepers,GKP,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
255,2,False,False,1,90,0,1,0,3,0,0,0,0,0,0,0,20,23.4,19.6,4.0,4.7,4,False,255,8,19,834,12,1071.0,42,1,216.4,736.6,3384,0,0,0,0,0,354.0,2,2020-08-13T09:27:16.985716Z,100.0,100.0,122798,36,0,,,8,Andrew,6.4,True,,2020-12-01T23:30:25.355446Z,,,4.2,Robertson,,a,161,Robertson,35,8,5,2,106,8,24,2,2,11,2,246,Defender,DEF,Defenders,DEF,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
457,3,False,False,1,75,0,0,0,1,0,0,0,0,0,0,0,6,20.0,3.5,35.0,5.9,2,False,457,2,4,222,4,182.4,15,0,52.0,257.2,1238,0,0,0,1,0,79.0,2,2020-08-13T09:27:17.226726Z,100.0,100.0,87835,80,0,,,1,Matt,0.5,False,,2021-03-29T22:00:25.918556Z,,,2.8,Doherty,,a,47,Doherty,259,99,204,50,317,106,286,95,2,17,2,246,Defender,DEF,Defenders,DEF,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
260,4,False,False,1,90,0,0,0,3,0,0,0,0,0,0,0,13,19.2,1.0,0.0,2.0,1,False,260,0,0,94,0,18.1,14,0,12.5,106.8,589,0,0,0,0,0,0.0,0,2020-08-13T09:27:16.991674Z,100.0,0.0,171287,185,0,,,0,Joseph,0.0,False,,2020-11-12T11:30:20.318274Z,,,1.4,Gomez,,a,10,Gomez,369,142,395,147,698,246,411,152,2,11,2,246,Defender,DEF,Defenders,DEF,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
497,5,False,False,1,90,1,0,1,0,0,0,0,0,0,0,2,38,45.8,3.0,35.0,8.4,14,True,497,4,7,479,6,350.2,37,2,101.7,486.6,2345,0,0,0,0,0,181.0,1,2020-09-04T11:04:04.504754Z,100.0,100.0,166477,248,0,,,0,Timothy,0.8,False,,2021-01-31T17:00:19.980756Z,,,3.5,Castagne,,a,94,Castagne,142,55,108,23,201,52,143,31,2,9,2,246,Defender,DEF,Defenders,DEF,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
394,6,False,False,1,45,0,0,0,0,0,0,0,0,0,0,0,3,8.4,11.9,21.0,4.1,1,False,394,2,0,101,3,132.1,9,0,39.9,103.4,613,0,0,0,0,0,165.0,0,2020-08-13T09:27:17.150901Z,100.0,100.0,108823,25,0,,,2,Bamidele,3.0,False,,2021-01-22T16:30:27.033912Z,,,2.0,Alli,,a,30,Alli,372,160,237,144,215,111,324,144,3,17,3,295,Midfielder,MID,Midfielders,MID,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
338,7,False,False,1,74,0,0,1,0,0,0,0,0,0,0,0,7,3.8,2.8,5.0,1.2,3,False,338,5,5,278,7,394.2,26,3,118.9,376.0,1554,0,0,0,0,0,418.0,0,2020-08-13T09:27:17.084366Z,100.0,75.0,170137,188,0,,,3,Allan,2.5,False,,2021-05-19T21:00:29.368901Z,,,3.4,Saint-Maximin,,a,85,Saint-Maximin,196,77,89,62,88,51,102,60,3,14,3,295,Midfielder,MID,Midfielders,MID,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
481,8,False,False,1,90,0,0,0,3,0,0,0,0,0,0,0,9,8.6,14.7,26.0,4.9,2,False,481,7,15,565,6,873.6,58,11,227.9,744.0,2574,0,0,0,1,0,661.0,2,2020-08-18T13:22:04.436750Z,100.0,75.0,210407,137,0,,,0,Matheus,4.8,False,,2021-05-21T14:30:25.571486Z,,,4.6,Pereira,,a,153,Pereira,38,13,15,11,53,31,21,13,3,18,3,295,Midfielder,MID,Midfielders,MID,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
493,9,False,False,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,1,False,493,4,16,341,3,409.7,21,7,142.4,398.4,1279,0,0,0,0,0,617.0,3,2020-09-01T11:01:40.541451Z,100.0,100.0,80954,140,0,,,8,Rodrigo,8.0,False,,2021-04-10T19:00:27.499832Z,,,3.4,Moreno,,a,89,Rodrigo,188,21,84,9,56,23,79,20,4,10,4,92,Forward,FWD,Forwards,FWD,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
68,10,False,False,1,90,0,0,0,3,0,0,0,0,0,0,0,1,0.0,1.0,8.0,0.7,2,False,68,2,12,334,10,443.2,34,8,198.5,442.2,2508,0,1,0,1,0,1103.0,1,2020-08-13T09:27:16.762841Z,100.0,0.0,115382,54,0,,,0,Neal,-0.2,False,,2021-05-09T15:30:25.744659Z,,,3.2,Maupay,,a,105,Maupay,168,20,72,7,15,10,37,11,4,3,4,92,Forward,FWD,Forwards,FWD,166238,Bilbao Baggins,166625,2020-09-01T21:09:27.382849Z,Oliver,Bignall,OB,,1
